"Source:","/home/joseph/projects/weather-station/radio/radio.sch"
"Date:","Wed 24 Nov 2021 07:50:49 PM EST"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","165"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","R28","75","Device:R","","~","","","","","","","","",""
"","","R29","3.9k","Device:R","","~","","","","","","","","",""
"","","R30","1.2k","Device:R","","~","","","","","","","","",""
"","","R31","47","Device:R","","~","","","","","","","","",""
"","","R32","47","Device:R","","~","","","","","","","","",""
"","","R33","100","Device:R","","~","","","","","","","","",""
"","","R34","10","Device:R","","~","","","","","","","","",""
"","","R35","1k","Device:R","","~","","","","","","","","",""
"","","R36","100","Device:R","","~","","","","","","","","",""
"","","R37","1k","Device:R","","~","","","","","","","","",""
"","","T1","Transformer_1P_1S","Device:Transformer_1P_1S","","~","","","","","","","","",""
"","","U1","ADE-11X+","dk_RF-Demodulators:ADE-11X+","RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052","www.minicircuits.com/pdfs/ADE-6.pdf","","","","","","","","",""
"","","U2","CMX901","dk_RF-Amplifiers:CMX901","Home:QFN-28_EP_5x5_Pitch0.5mm","CMX901QT8","","","","","","","","",""
"","","U3","TXU0304RUTR","dk_Logic-Translators-Level-Shifters:TXU0304RUTR","Package_DFN_QFN:Texas_R_PUQFN-N12","http://www.ti.com/lit/ds/symlink/txu0104.pdf","","","","","","","","",""
"","","U4","AD9850","Interface:AD9850","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD9850.pdf","","","","","","","","",""
"","","U5","SiT9365AC-2B1-33E","dk_Oscillators:SiT9365AC-2B1-33E","Home:POD-038-PQFD-006-C03225","","","","","","","","","",""
"","","U6","DS90LV028ATM","DS90LV028ATM:DS90LV028ATM","SOIC127P599X175-8N","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","7","C1, C12, C13, C38, C39, C40, C66","10u","Device:C_Small","","~","","","","","","","","",""
"2","5","C2, C3, C23, C24, C46","1p","Device:C_Small","","~","","","","","","","","",""
"3","3","C4, C25, C26","510p","Device:C_Small","","~","","","","","","","","",""
"4","4","C5, C19, C20, C27","1u","Device:C_Small","","~","","","","","","","","",""
"5","6","C6, C8, C15, C18, C21, C32","470p","Device:C_Small","","~","","","","","","","","",""
"6","7","C7, C22, C28, C57, C58, C59, C63","2.5n","Device:C","","~","","","","","","","","",""
"7","2","C9, C34","12p","Device:C_Small","","~","","","","","","","","",""
"8","2","C10, C35","56p","Device:C_Small","","~","","","","","","","","",""
"9","3","C11, C36, C47","5.6p","Device:C_Small","","~","","","","","","","","",""
"10","1","C14","4.7u","Device:C_Small","","~","","","","","","","","",""
"11","2","C16, C17","10n","Device:C","","~","","","","","","","","",""
"12","1","C29","C_Small","Device:C_Small","","~","","","","","","","","",""
"13","1","C30","1n","Device:C_Small","","~","","","","","","","","",""
"14","1","C31","470pF","Device:C_Small","","~","","","","","","","","",""
"15","1","C33","3.3pF","Device:C_Small","","~","","","","","","","","",""
"16","1","C37","1nF","Device:C_Small","","~","","","","","","","","",""
"17","4","C41, C42, C44, C45","0.1u","Device:C_Small","","~","","","","","","","","",""
"18","1","C43","100p","Device:C","","~","","","","","","","","",""
"19","1","C48","4.7p","Device:C_Small","","~","","","","","","","","",""
"20","1","C49","1.5n","Device:C_Small","","~","","","","","","","","",""
"21","3","C50, C51, C52","2n","Device:C_Small","","~","","","","","","","","",""
"22","3","C53, C55, C56","22p","Device:C_Small","","~","","","","","","","","",""
"23","1","C54","33p","Device:C_Small","","~","","","","","","","","",""
"24","1","C60","36p","Device:C_Small","","~","","","","","","","","",""
"25","1","C61","47p","Device:C_Small","","~","","","","","","","","",""
"26","1","C62","13p","Device:C_Small","","~","","","","","","","","",""
"27","1","C64","2.5n","Device:C_Small","","~","","","","","","","","",""
"28","1","C65","100p","Device:C_Small","","~","","","","","","","","",""
"29","2","C67, C68","0.1uF","Device:C_Small","","~","","","","","","","","",""
"30","1","FL1","EMI_Filter_CommonMode","Device:EMI_Filter_CommonMode","","~","","","","","","","","",""
"31","1","J1","+5VD","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"32","2","J2, J4","in","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"33","2","J3, J5","out","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"34","1","J6","+5VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
